,,,,
Time (sec),Yaw_Front_Left (deg),Yaw_Back_Left (deg),Yaw_Back_Right (deg),Yaw_Front_Right (deg)
52.08,158.7554438,145.0571,151.5723827,164.2971323
52.12,158.6619641,145.0028778,151.4499763,164.2889742
52.1325,158.6905993,145.0219444,151.4490954,164.3381428
52.16,158.7830903,145.1052646,151.5124149,164.4444254
52.2,158.8992063,145.2323293,151.6127498,164.5797947
52.24,158.9895261,145.3324903,151.6981876,164.6774046
52.28,159.0716175,145.4200104,151.7756412,164.7620864
52.32,159.1487541,145.5006781,151.8481827,164.8400317
52.32910156,159.1654392,145.5182704,151.8640481,164.8568412
52.36,159.2204936,145.5760521,151.9167343,164.9115637
52.4,159.2859011,145.6448613,151.9796354,164.9762946
52.44,159.3466146,145.7089522,152.0384543,165.0360351
52.48,159.4036733,145.7691862,152.0940431,165.0917361
52.52,159.456214,145.8245315,152.1452257,165.1427879
52.54,159.4798406,145.8495534,152.1681536,165.1659367
52.56,159.5040183,145.8749268,152.1917336,165.1892326
52.6,159.548048,145.921468,152.2346306,165.2319767
52.64,159.5896654,145.9655658,152.2753738,165.2721981
52.66,159.6092453,145.986093,152.2944208,165.2909658
52.68,159.6285912,146.0066592,152.3134752,165.3095581
52.72,159.6636444,146.0436256,152.3475885,165.3432485
52.74,159.680007,146.0610555,152.3635584,165.3590772
52.76,159.6956192,146.0773929,152.3786063,165.3740276
52.8,159.7255988,146.1091622,152.4077606,165.4028422
52.84,159.7542768,146.1394599,152.4357019,165.4301738
52.88,159.7802241,146.16674,152.4607599,165.4548745
52.92,159.8035417,146.1913027,152.4831525,165.4771279
52.96,159.8252152,146.214294,152.5040553,165.4977927
53,159.8460279,146.2363924,152.5242159,165.5174992
53.04,159.8654384,146.2568109,152.5428792,165.5357206
53.08,159.8825508,146.2747873,152.5591083,165.5518472
53.12,159.8980585,146.2911498,152.5737366,165.5665005
53.16,159.9129449,146.3069749,152.5878894,165.5805179
53.2,159.9277304,146.3225512,152.6020015,165.594199
53.24,159.9405123,146.3359625,152.6139787,165.6060263
53.28,159.9517527,146.3478124,152.6243886,165.6164583
53.31,159.9601778,146.3568757,152.6323684,165.6242809
53.32,159.962392,146.3591443,152.634303,165.6263177
53.36,159.9731128,146.3705293,152.6443927,165.6361073
53.4,159.982866,146.380726,152.6533887,165.6449085
53.44,159.9911049,146.3893194,152.6607397,165.6523829
53.48,159.9985449,146.3971798,152.6673407,165.6591505
53.52,159.8611487,146.4282239,152.6217821,165.6185401
53.56,159.328963,146.4350901,152.4097049,165.5202793
53.6,158.1404772,145.9931343,152.4559333,165.753226
53.64,156.3509305,145.1085564,153.1297173,166.5843705
53.66230656,155.2211303,144.543029,153.7265283,167.2296837
53.68,154.2881525,144.0866626,154.2700055,167.7972277
53.69,153.7509015,143.8300302,154.5963132,168.1337064
53.72,152.1139877,143.0840247,155.6207667,169.1829402
53.76,149.909008,142.1490228,157.0190204,170.6171424
53.8,147.6982777,141.2989806,158.4067801,172.0578439
53.84,145.501085,140.5400321,159.6567445,173.4021111
53.84058919,145.4678923,140.5268597,159.6530129,173.4049364
53.88,143.0428495,139.6028001,159.6091253,173.6066469
53.92,140.2413784,138.5781874,159.5866339,173.5900079
53.96,137.3378804,137.6593579,159.5553485,173.5611718
54,134.6132641,137.104426,159.5163346,173.5232256
54.04,132.3709677,137.1089326,159.4794261,173.4861475
54.08,130.8986642,137.5708013,159.4568186,173.4620525
54.12,130.4595218,138.1737614,159.4619951,173.465027
54.16,130.7255634,138.8205685,159.4811543,173.4814776
54.2,131.165086,139.4749568,159.5000591,173.4972315
54.24,131.5165436,140.1182801,159.5155307,173.5091614
54.28,131.7899511,140.7838838,159.5309955,173.5206918
54.32,132.0422407,141.4975899,159.5481163,173.5337265
54.36,132.2842636,142.2426402,159.5650985,173.5464709
54.4,132.5454571,143.0229694,159.5823158,173.5592386
54.44,132.8492168,143.8553907,159.6008225,173.5733558
54.48,133.1685229,144.6862241,159.6203774,173.5881958
54.52,133.5366354,145.4428854,159.6460499,173.6091191
54.56,133.9262214,146.1571693,159.6723998,173.6312148
54.6,134.2436438,146.8416518,159.6900859,173.6453782
54.64,134.4944816,147.5135001,159.7013872,173.6535055
54.68,134.7378129,148.1989344,159.7122113,173.6616575
54.72,134.9474822,148.8791267,159.7206326,173.6679339
54.76,135.1547529,149.5624705,159.7287013,173.674176
54.8,135.3506591,150.2419961,159.7350205,173.6791382
54.84,135.5447172,150.9216477,159.7406615,173.6836861
54.88,135.7359627,151.6040718,159.7454019,173.6876072
54.92,135.9204438,152.2936402,159.7486417,173.6902118
54.96,136.1049239,152.9966298,159.7508363,173.6919413
54.98,136.2023635,153.3529523,159.7529572,173.693691
55,136.301936,153.7127514,159.7546951,173.6951122
55.04,136.4916656,154.4369496,159.7582202,173.6976658
55.08,136.670059,155.1783085,159.7596264,173.6981836
55.12,136.8600348,155.9416483,159.7626298,173.6994243
55.16,137.0459531,156.7233839,159.7661968,173.6995212
55.2,137.2307242,157.5310189,159.7709746,173.6992067
55.24,137.4235735,158.3650345,159.7815628,173.7001748
55.28,137.6145966,159.2320906,159.7935392,173.6992618
55.32,137.5763723,159.7385274,159.8323964,173.7003027
55.36,137.7240231,159.7696083,159.8275921,173.7241698
55.4,137.8460336,159.7894348,159.8233563,173.739831
55.44,137.925304,159.7986004,159.8246416,173.7518836
55.48,137.9763857,159.8044119,159.8277504,173.7610541
55.52,138.0148686,159.8095224,159.8310229,173.7684809
55.56,138.0447834,159.8142535,159.8342256,173.7747682
55.6,138.0704473,159.8192349,159.8374186,173.780246
55.64,138.0925816,159.8241301,159.8404933,173.7850548
55.68,138.1147531,159.828111,159.8434331,173.7893521
55.72,138.1410622,159.8282538,159.8460337,173.7928252
55.76,138.1847646,159.8253526,159.8490324,173.7960879
55.8,138.2568127,159.8184511,159.8523698,173.7991695
55.84,138.3527122,159.8063627,159.8555759,173.8015571
55.88,138.4893248,159.7927357,159.8605221,173.8042526
55.92,138.6366797,159.77639,159.8669021,173.8003588
55.96,138.743971,159.7549648,159.8622583,173.7862911
56,138.8018044,159.7295104,159.8488006,173.7642002
56.04,138.8177529,159.7047818,159.8301995,173.7374476
56.05,138.8210457,159.7007803,159.8270358,173.7323003
56.08,138.8344019,159.6932355,159.8217359,173.7211034
56.12,138.8554207,159.6896938,159.8201219,173.7117166
56.16,138.8793922,159.6885496,159.8191713,173.7030583
56.2,138.9244084,159.6894451,159.8225926,173.698488
56.24,138.9966327,159.6927075,159.8336546,173.7008184
56.28,139.0852886,159.6969239,159.8499286,173.7052323
56.32,139.1834853,159.7007773,159.875936,173.7064546
56.36,139.3125336,159.7063965,159.9270479,173.715853
56.4,139.4816189,159.7141828,160.0162353,173.7496026
56.44,139.6380164,159.7139009,160.1240984,173.8329009
56.48,139.7304537,159.7026652,160.2793541,173.9877823
56.52,139.7094654,159.6791408,160.4757361,174.1962689
56.56,139.7518359,159.6588561,160.6750138,174.4028233
56.6,140.5614468,159.6726731,160.8404686,174.5609918
56.64,141.5223508,159.6820965,161.0335853,174.7466492
56.68,142.6868835,159.691069,161.2700507,174.9763998
