Rover_Displacement_Along_X_Axis,
Time (sec),Linear Displacement1 (mm)
36.1075,3802.789973
36.12,3804.751055
36.16,3811.028879
36.16,3811.028879
36.2,3817.306552
36.24,3823.583346
36.28,3829.859944
36.32,3836.137192
36.36,3842.414758
36.3925,3847.514345
36.4,3848.72446
36.44,3855.034026
36.46288444,3858.507061
36.48,3861.000766
36.52,3866.504089
36.53937911,3868.839277
36.56,3870.605848
36.6,3871.715989
36.64,3871.083234
36.68,3871.256677
36.72,3872.915042
36.76,3875.220217
36.8,3877.442984
36.84,3879.644194
36.88,3882.087696
36.92,3884.942628
36.96,3888.129601
37,3891.445841
37.04,3894.895339
37.08,3898.59304
37.12,3902.485356
37.16,3906.51269
37.2,3910.760215
37.24,3915.208694
37.28,3919.772899
37.32,3924.448435
37.36,3929.354478
37.4,3934.417089
37.44,3939.574934
37.48,3944.906276
37.52,3950.385693
37.56,3955.95029
37.6,3961.64597
37.64,3967.460076
37.68,3973.367244
37.71,3977.874913
37.72,3979.389242
37.76,3985.499471
37.8,3991.656936
37.84,3997.837329
37.87,4002.484333
37.88,4004.034898
37.9,4007.14263
37.92,4010.254976
37.96,4016.48807
38,4022.728324
38.04,4028.978218
38.08,4035.23406
38.12,4041.49615
38.16,4047.763592
38.2,4054.035777
38.24,4060.313924
38.28,4066.584212
38.32,4072.846083
38.36,4079.105572
38.4,4085.364882
38.44,4091.624376
38.48,4097.883425
38.48,4097.883425
38.50124349,4101.207205
38.52,4104.141812
38.53187826,4106.000568
38.56,4110.400171
38.6,4116.658569
38.64,4122.917792
38.68,4129.181993
38.72,4135.452523
38.76,4141.727881
38.8,4148.009956
38.84,4154.300717
38.88,4160.604938
38.92,4166.920813
38.96,4173.251918
39,4179.594778
39.04,4185.951202
39.08,4192.339727
39.12,4198.798116
39.16,4205.343842
39.2,4211.980077
39.24,4218.745512
39.28,4225.628371
39.32,4232.642546
39.36,4239.704889
39.4,4246.761714
39.44,4253.80954
39.48,4260.850638
39.52,4267.882882
39.56,4274.909271
39.6,4281.941354
39.64,4288.971256
39.68,4295.99623
39.72,4303.022828
39.76,4310.034603
39.8,4317.009613
39.84,4323.903946
39.88,4330.592793
39.92,4337.384104
39.92643079,4338.536486
39.96,4344.26368
40,4350.620429
40.04,4356.705849
40.08,4362.770335
40.12,4368.876803
40.16,4375.0021
40.17,4376.535894
40.2,4381.137711
40.24,4387.282532
40.28,4393.434869
40.32,4399.593548
40.36,4405.762211
40.4,4411.939182
40.44,4418.122288
40.48,4424.309691
40.52,4430.503387
40.56,4436.704248
40.6,4442.910422
40.64,4449.119119
40.68,4455.33089
40.69,4456.886231
40.72,4461.548831
40.76,4467.771284
40.8,4473.996095
40.84,4480.222043
40.88,4486.452175
40.92,4492.6866
40.96,4498.922876
41,4505.159697
41,4505.159697
41.04,4511.398291
41.08,4517.640855
41.12,4523.885823
41.16,4530.131188
41.2,4536.376037
41.24,4542.624369
41.28,4548.8751
41.31,4553.562698
41.32,4555.126408
41.36,4561.376963
41.4,4567.985656
41.44,4574.374765
41.48,4579.66905
41.52,4584.020934
41.56,4587.900146
41.6,4591.630069
41.64,4595.345685
41.68,4599.097336
41.72,4603.645253
41.76,4608.829104
41.8,4613.84591
41.84,4618.277913
41.88,4622.085708
41.92,4625.442855
41.96,4628.524983
42,4631.569658
42.04,4634.835927
42.08,4638.371057
42.12,4642.075207
42.16,4645.90218
42.2,4649.891286
42.24,4654.063201
42.28,4658.409544
42.32,4662.933049
42.36,4667.571917
42.4,4672.286547
42.44,4677.117754
42.48,4682.04633
42.52,4687.05453
42.56,4692.168269
42.6,4697.35869
42.64,4702.608373
42.68,4707.890165
42.72,4713.183145
42.76,4718.468366
42.8,4723.732142
42.84,4728.97276
42.88,4734.200004
42.92,4739.40016
42.96,4744.558127
43,4749.679414
43.0225,4752.538891
43.04,4754.752959
43.08,4759.771809
43.12,4764.735149
43.16,4769.635691
43.2,4774.465359
43.23515625,4778.696024
43.24,4779.436113
43.26281004,4782.982538
43.28,4785.642965
43.32,4791.843787
43.36,4798.065611
43.38166667,4801.439887
43.4,4804.297482
43.44,4810.532107
43.48,4816.767766
43.52,4823.005029
43.56,4829.245752
43.6,4835.159579
