"Plot22"
"Time (sec)","Velocity1 (mm/sec)"
28.7199999999996,115.258031899369
28.7599999999996,117.163382160186
28.7999999999996,120.362635306389
28.8399999999996,122.71040347451
28.8799999999996,124.323582698342
28.8999999999996,125.412406610935
28.9199999999996,125.918672811055
28.9599999999996,128.149375668585
28.9999999999996,131.06318131239
29.0399999999996,133.011643270808
29.0799999999996,134.502679356577
29.1199999999996,136.079978608853
29.1599999999996,138.747432411371
29.1999999999996,140.811454751378
29.2399999999996,142.306745444348
29.2799999999996,143.932157491248
29.3199999999996,146.493375735346
29.3599999999996,148.076849572793
29.3999999999996,149.217956417223
29.4399999999996,150.70116043681
29.4799999999995,151.798754905037
29.5199999999995,152.603359449026
29.5599999999995,152.977159410283
29.5999999999995,153.304841391263
29.6399999999995,153.756598487232
29.6799999999995,154.23424661618
29.7199999999995,154.400361449956
29.7599999999995,154.600098322042
29.7999999999995,154.91435666479
29.8399999999995,155.121996502637
29.8799999999995,155.359112508452
29.9199999999995,155.407852467845
29.9599999999995,155.456620069984
29.9999999999995,155.671155633728
30.0399999999995,156.214188538921
30.0499999999995,156.508189112774
30.0799999999995,156.917171282668
30.1012499999995,156.969005227486
30.1199999999995,156.97151479294
30.1599999999995,157.01219324606
30.1999999999995,157.088308437972
30.2399999999995,157.107417549789
30.2799999999995,157.068293658639
30.3099999999995,157.077628624677
30.3199999999995,157.057303663295
30.3599999999995,157.103713611918
30.3999999999995,157.100911038062
30.4399999999995,157.086375281031
30.4499999999995,157.083549725666
30.4799999999995,157.192683077629
30.5199999999995,157.152046395114
30.5599999999995,157.30103804832
30.5999999999995,157.311965033925
30.6399999999995,157.371585979359
30.6699999999995,157.555791960749
30.6799999999995,157.5408950531
30.7108333333329,157.192794467648
30.7199999999995,157.042172143603
30.7599999999995,154.350120204867
30.7999999999995,152.742738807426
30.8399999999995,151.497147753286
30.8799999999995,151.082153410311
30.9199999999995,150.893176202946
30.9399999999995,150.625887950318
30.9599999999995,150.509028215215
30.9999999999995,151.590999945337
31.0399999999995,150.815369175459
31.0424999999995,150.695414135961
31.0799999999995,149.831098728617
31.1199999999995,149.843632301141
31.1599999999995,150.10251686806
31.1999999999995,150.192863397195
31.2399999999995,149.944011724432
31.2799999999995,151.393424501222
31.3199999999995,152.859320427107
31.3599999999995,153.864559329691
31.3999999999995,155.193919667544
31.4399999999995,156.823124156023
31.4799999999995,158.877783234858
31.5199999999995,161.08880493837
31.5599999999995,162.715332024417
31.57352599478,164.485480390824
31.5999999999995,161.061027409951
31.6399999999995,145.56679351809
31.6799999999995,144.270069363127
31.7199999999995,154.531719236972
31.7599999999995,179.289511405227
31.7921870147313,181.637346487024
31.7999999999995,164.334226681781
31.8078286284752,151.190394776623
31.8399999999995,118.529516817823
31.8799999999995,104.776318572994
31.9199999999995,126.569078692459
31.9599999999995,150.745647899817
31.9999999999995,179.247693221918
32.0399999999995,166.909828423249
32.0799999999995,168.861614312862
32.1199999999995,165.181400006135
32.1599999999995,164.42738236953
32.1999999999995,166.731827388657
32.2399999999995,166.254544380653
32.2799999999995,166.934485944544
32.3199999999995,166.713397899367
32.3599999999995,165.166997439572
32.3999999999995,163.485340074897
